time_days,Rn220 top 4
1.1574074074074073e-05,3.501264209265787e-85
1.1576109151910821e-05,3.501264209230368e-85
1.157814458757678e-05,3.501264209194942e-85
1.158018038113487e-05,3.5012642091595107e-85
1.1582216532648015e-05,3.5012642091240723e-85
1.1584253042179158e-05,3.5012642090886294e-85
1.1586289909791249e-05,3.501264209053179e-85
1.1588327135547246e-05,3.5012642090177225e-85
1.1590364719510128e-05,3.5012642089822596e-85
1.1592402661742875e-05,3.5012642089467904e-85
1.1594440962308483e-05,3.5012642089113155e-85
1.1596479621269957e-05,3.501264208875834e-85
1.1598518638690315e-05,3.5012642088403463e-85
1.1600558014632583e-05,3.5012642088048525e-85
1.1602597749159803e-05,3.5012642087693525e-85
1.1604637842335022e-05,3.501264208733846e-85
1.1606678294221306e-05,3.5012642086983335e-85
1.1608719104881723e-05,3.5012642086628146e-85
1.1610760274379357e-05,3.501264208627289e-85
1.1612801802777306e-05,3.501264208591758e-85
1.1614843690138673e-05,3.50126420855622e-85
1.1616885936526574e-05,3.501264208520677e-85
1.1618928542004138e-05,3.501264208485126e-85
1.1620971506634507e-05,3.50126420844957e-85
1.1623014830480826e-05,3.5012642084140074e-85
1.162505851360626e-05,3.501264208378438e-85
1.1627102556073979e-05,3.501264208342864e-85
1.1629146957947168e-05,3.501264208307282e-85
1.163119171928902e-05,3.501264208271694e-85
1.1633236840162742e-05,3.5012642082361003e-85
1.1635282320631548e-05,3.5012642082005e-85
1.163732816075867e-05,3.5012642081648933e-85
1.1639374360607345e-05,3.501264208129281e-85
1.1641420920240822e-05,3.5012642080936623e-85
1.1643467839722364e-05,3.501264208058037e-85
1.1645515119115243e-05,3.5012642080224057e-85
1.1647562758482743e-05,3.501264207986768e-85
1.1649610757888157e-05,3.501264207951124e-85
1.1651659117394789e-05,3.501264207915474e-85
1.1653707837065959e-05,3.501264207879817e-85
1.1655756916964996e-05,3.501264207844154e-85
1.1657806357155237e-05,3.501264207808485e-85
1.1659856157700035e-05,3.50126420777281e-85
1.1661906318662747e-05,3.5012642077371286e-85
1.1663956840106745e-05,3.50126420770144e-85
1.1666007722095419e-05,3.501264207665746e-85
1.1668058964692159e-05,3.5012642076300455e-85
1.1670110567960373e-05,3.5012642075943386e-85
1.1672162531963473e-05,3.5012642075586265e-85
1.1674214856764896e-05,3.501264207522907e-85
1.1676267542428077e-05,3.501264207487182e-85
1.1678320589016465e-05,3.50126420745145e-85
1.1680373996593523e-05,3.501264207415711e-85
1.1682427765222725e-05,3.501264207379967e-85
1.1684481894967554e-05,3.5012642073442164e-85
1.1686536385891505e-05,3.501264207308459e-85
1.1688591238058084e-05,3.501264207272696e-85
1.1690646451530811e-05,3.5012642072369264e-85
1.1692702026373212e-05,3.501264207201151e-85
1.169475796264883e-05,3.5012642071653686e-85
1.1696814260421214e-05,3.50126420712958e-85
1.1698870919753925e-05,3.5012642070937855e-85
1.170092794071054e-05,3.5012642070579843e-85
1.1702985323354636e-05,3.5012642070221774e-85
1.1705043067749818e-05,3.5012642069863636e-85
1.170710117395969e-05,3.5012642069505435e-85
