time_days,Pu241 top 8
1.1574074074074073e-05,3.1536957666540506e-92
1.1576109151910821e-05,3.153695766622148e-92
1.157814458757678e-05,3.153695766590239e-92
1.158018038113487e-05,3.153695766558324e-92
1.1582216532648015e-05,3.1536957665264044e-92
1.1584253042179158e-05,3.153695766494479e-92
1.1586289909791249e-05,3.153695766462548e-92
1.1588327135547246e-05,3.153695766430611e-92
1.1590364719510128e-05,3.153695766398669e-92
1.1592402661742875e-05,3.153695766366721e-92
1.1594440962308483e-05,3.1536957663347676e-92
1.1596479621269957e-05,3.1536957663028084e-92
1.1598518638690315e-05,3.153695766270843e-92
1.1600558014632583e-05,3.153695766238873e-92
1.1602597749159803e-05,3.1536957662068967e-92
1.1604637842335022e-05,3.153695766174915e-92
1.1606678294221306e-05,3.153695766142928e-92
1.1608719104881723e-05,3.153695766110935e-92
1.1610760274379357e-05,3.153695766078936e-92
1.1612801802777306e-05,3.153695766046932e-92
1.1614843690138673e-05,3.1536957660149226e-92
1.1616885936526574e-05,3.153695765982907e-92
1.1618928542004138e-05,3.1536957659508856e-92
1.1620971506634507e-05,3.153695765918859e-92
1.1623014830480826e-05,3.153695765886827e-92
1.162505851360626e-05,3.1536957658547886e-92
1.1627102556073979e-05,3.1536957658227456e-92
1.1629146957947168e-05,3.153695765790696e-92
1.163119171928902e-05,3.153695765758641e-92
1.1633236840162742e-05,3.153695765726581e-92
1.1635282320631548e-05,3.153695765694514e-92
1.163732816075867e-05,3.1536957656624426e-92
1.1639374360607345e-05,3.1536957656303655e-92
1.1641420920240822e-05,3.153695765598282e-92
1.1643467839722364e-05,3.1536957655661936e-92
1.1645515119115243e-05,3.1536957655340995e-92
1.1647562758482743e-05,3.153695765501999e-92
1.1649610757888157e-05,3.1536957654698935e-92
1.1651659117394789e-05,3.1536957654377824e-92
1.1653707837065959e-05,3.153695765405665e-92
1.1655756916964996e-05,3.1536957653735424e-92
1.1657806357155237e-05,3.153695765341415e-92
1.1659856157700035e-05,3.1536957653092806e-92
1.1661906318662747e-05,3.1536957652771415e-92
1.1663956840106745e-05,3.1536957652449956e-92
1.1666007722095419e-05,3.1536957652128456e-92
1.1668058964692159e-05,3.153695765180689e-92
1.1670110567960373e-05,3.1536957651485266e-92
1.1672162531963473e-05,3.153695765116359e-92
1.1674214856764896e-05,3.153695765084186e-92
1.1676267542428077e-05,3.1536957650520065e-92
1.1678320589016465e-05,3.153695765019822e-92
1.1680373996593523e-05,3.153695764987631e-92
1.1682427765222725e-05,3.153695764955435e-92
1.1684481894967554e-05,3.1536957649232335e-92
1.1686536385891505e-05,3.1536957648910256e-92
1.1688591238058084e-05,3.153695764858813e-92
1.1690646451530811e-05,3.153695764826594e-92
1.1692702026373212e-05,3.15369576479437e-92
1.169475796264883e-05,3.1536957647621395e-92
1.1696814260421214e-05,3.153695764729904e-92
1.1698870919753925e-05,3.1536957646976625e-92
1.170092794071054e-05,3.153695764665416e-92
1.1702985323354636e-05,3.153695764633163e-92
1.1705043067749818e-05,3.1536957646009046e-92
1.170710117395969e-05,3.15369576456864e-92
1.1709159642047868e-05,3.153695764536371e-92
1.1711218472077982e-05,3.1536957645040956e-92
1.1713277664113672e-05,3.153695764471815e-92
1.1715337218218593e-05,3.153695764439528e-92
1.1717397134456403e-05,3.153695764407235e-92
1.1719457412890783e-05,3.153695764374937e-92
1.172151805358541e-05,3.153695764342633e-92
1.1723579056603986e-05,3.153695764310324e-92
1.1725640422010216e-05,3.153695764278009e-92
1.1727702149867825e-05,3.153695764245688e-92
1.1729764240240532e-05,3.1536957642133614e-92
1.1731826693192089e-05,3.153695764181029e-92
1.173388950878624e-05,3.153695764148691e-92
1.1735952687086755e-05,3.1536957641163474e-92
1.1738016228157407e-05,3.153695764083998e-92
1.174008013206198e-05,3.1536957640516434e-92
1.1742144398864272e-05,3.153695764019283e-92
1.1744209028628096e-05,3.153695763986917e-92
1.1746274021417267e-05,3.153695763954544e-92
1.1748339377295616e-05,3.153695763922166e-92
1.1750405096326988e-05,3.153695763889784e-92
1.1752471178575235e-05,3.153695763857394e-92
1.1754537624104223e-05,3.1536957638249994e-92
1.1756604432977824e-05,3.1536957637925994e-92
1.1758671605259932e-05,3.1536957637601925e-92
1.1760739141014437e-05,3.153695763727781e-92
1.1762807040305254e-05,3.153695763695363e-92
1.1764875303196305e-05,3.15369576366294e-92
1.1766943929751517e-05,3.153695763630511e-92
1.1769012920034836e-05,3.153695763598077e-92
1.1771082274110218e-05,3.153695763565636e-92
1.1773151992041629e-05,3.1536957635331895e-92
1.1775222073893044e-05,3.153695763500738e-92
1.1777292519728452e-05,3.1536957634682804e-92
1.177936332961185e-05,3.153695763435818e-92
1.1781434503607254e-05,3.153695763403348e-92
1.1783506041778683e-05,3.153695763370874e-92
1.178557794419017e-05,3.153695763338393e-92
1.1787650210905758e-05,3.153695763305907e-92
1.178972284198951e-05,3.153695763273416e-92
1.1791795837505486e-05,3.1536957632409177e-92
1.1793869197517767e-05,3.153695763208415e-92
1.179594292209044e-05,3.153695763175906e-92
1.1798017011287611e-05,3.153695763143391e-92
1.180009146517339e-05,3.1536957631108714e-92
1.1802166283811898e-05,3.1536957630783447e-92
1.180424146726727e-05,3.153695763045813e-92
1.1806317015603657e-05,3.1536957630132755e-92
1.1808392928885212e-05,3.1536957629807325e-92
1.1810469207176105e-05,3.153695762948183e-92
1.1812545850540515e-05,3.1536957629156286e-92
1.1814622859042633e-05,3.1536957628830685e-92
1.1816700232746663e-05,3.153695762850502e-92
1.1818777971716817e-05,3.15369576281793e-92
1.182085607601732e-05,3.153695762785353e-92
1.182293454571241e-05,3.1536957627527695e-92
1.1825013380866334e-05,3.153695762720181e-92
1.182709258154335e-05,3.153695762687586e-92
1.1829172147807727e-05,3.153695762654985e-92
1.183125207972375e-05,3.1536957626223785e-92
1.183333237735571e-05,3.1536957625897666e-92
1.1835413040767908e-05,3.153695762557149e-92
1.1837494070024666e-05,3.153695762524526e-92
1.1839575465190307e-05,3.153695762491897e-92
1.1841657226329168e-05,3.153695762459262e-92
1.18437393535056e-05,3.153695762426621e-92
1.1845821846783964e-05,3.153695762393975e-92
1.184790470622863e-05,3.1536957623613226e-92
1.1849987931903983e-05,3.1536957623286644e-92
1.1852071523874415e-05,3.153695762296001e-92
1.1854155482204337e-05,3.1536957622633316e-92
1.185623980695816e-05,3.153695762230657e-92
1.185832449820032e-05,3.153695762197976e-92
1.186040955599525e-05,3.1536957621652895e-92
1.1862494980407405e-05,3.153695762132597e-92
1.1864580771501242e-05,3.153695762099899e-92
1.1866666929341244e-05,3.153695762067195e-92
1.1868753453991893e-05,3.153695762034486e-92
1.1870840345517681e-05,3.15369576200177e-92
1.187292760398312e-05,3.153695761969049e-92
1.187501522945273e-05,3.1536957619363224e-92
1.1877103221991039e-05,3.15369576190359e-92
1.1879191581662589e-05,3.153695761870851e-92
1.1881280308531934e-05,3.153695761838107e-92
1.188336940266364e-05,3.153695761805357e-92
1.1885458864122283e-05,3.153695761772602e-92
1.1887548692972447e-05,3.15369576173984e-92
1.1889638889278737e-05,3.153695761707074e-92
1.1891729453105753e-05,3.1536957616743005e-92
1.1893820384518129e-05,3.1536957616415217e-92
1.1895911683580489e-05,3.1536957616087374e-92
1.1898003350357477e-05,3.153695761575947e-92
1.1900095384913753e-05,3.153695761543151e-92
1.190218778731398e-05,3.153695761510349e-92
1.1904280557622842e-05,3.1536957614775425e-92
1.1906373695905023e-05,3.153695761444729e-92
1.1908467202225226e-05,3.153695761411911e-92
1.1910561076648163e-05,3.153695761379085e-92
1.1912655319238558e-05,3.153695761346254e-92
1.1914749930061148e-05,3.153695761313419e-92
1.1916844909180674e-05,3.153695761280576e-92
1.1918940256661901e-05,3.1536957612477285e-92
1.1921035972569594e-05,3.153695761214874e-92
1.1923132056968534e-05,3.1536957611820156e-92
1.1925228509923516e-05,3.15369576114915e-92
1.1927325331499338e-05,3.153695761116279e-92
1.1929422521760818e-05,3.1536957610834026e-92
1.1931520080772786e-05,3.1536957610505196e-92
1.1933618008600073e-05,3.153695761017631e-92
1.193571630530753e-05,3.153695760984737e-92
1.1937814970960021e-05,3.153695760951837e-92
1.1939914005622416e-05,3.1536957609189316e-92
1.1942013409359598e-05,3.15369576088602e-92
1.1944113182236459e-05,3.153695760853103e-92
1.1946213324317909e-05,3.1536957608201796e-92
1.1948313835668861e-05,3.153695760787251e-92
1.1950414716354249e-05,3.153695760754316e-92
1.1952515966439013e-05,3.153695760721376e-92
1.1954617585988102e-05,3.15369576068843e-92
