time_days,Sb129 top 8
1.1574074074074073e-05,5.487549148286047e-88
1.1576109151910821e-05,5.487549148238465e-88
1.157814458757678e-05,5.487549148190875e-88
1.158018038113487e-05,5.487549148143276e-88
1.1582216532648015e-05,5.487549148095669e-88
1.1584253042179158e-05,5.487549148048054e-88
1.1586289909791249e-05,5.487549148000429e-88
1.1588327135547246e-05,5.487549147952796e-88
1.1590364719510128e-05,5.487549147905156e-88
1.1592402661742875e-05,5.487549147857506e-88
1.1594440962308483e-05,5.487549147809849e-88
1.1596479621269957e-05,5.487549147762183e-88
1.1598518638690315e-05,5.487549147714509e-88
1.1600558014632583e-05,5.487549147666826e-88
1.1602597749159803e-05,5.487549147619136e-88
1.1604637842335022e-05,5.487549147571436e-88
1.1606678294221306e-05,5.487549147523728e-88
1.1608719104881723e-05,5.487549147476012e-88
1.1610760274379357e-05,5.487549147428287e-88
1.1612801802777306e-05,5.487549147380555e-88
1.1614843690138673e-05,5.487549147332813e-88
1.1616885936526574e-05,5.487549147285063e-88
1.1618928542004138e-05,5.487549147237305e-88
1.1620971506634507e-05,5.487549147189539e-88
1.1623014830480826e-05,5.487549147141764e-88
1.162505851360626e-05,5.487549147093981e-88
1.1627102556073979e-05,5.487549147046189e-88
1.1629146957947168e-05,5.487549146998388e-88
1.163119171928902e-05,5.48754914695058e-88
1.1633236840162742e-05,5.487549146902764e-88
1.1635282320631548e-05,5.487549146854937e-88
1.163732816075867e-05,5.487549146807103e-88
1.1639374360607345e-05,5.487549146759262e-88
1.1641420920240822e-05,5.48754914671141e-88
1.1643467839722364e-05,5.487549146663552e-88
1.1645515119115243e-05,5.487549146615685e-88
1.1647562758482743e-05,5.487549146567809e-88
1.1649610757888157e-05,5.487549146519924e-88
1.1651659117394789e-05,5.487549146472032e-88
1.1653707837065959e-05,5.48754914642413e-88
1.1655756916964996e-05,5.487549146376222e-88
1.1657806357155237e-05,5.487549146328303e-88
1.1659856157700035e-05,5.487549146280376e-88
1.1661906318662747e-05,5.487549146232442e-88
1.1663956840106745e-05,5.487549146184499e-88
1.1666007722095419e-05,5.487549146136547e-88
1.1668058964692159e-05,5.487549146088586e-88
1.1670110567960373e-05,5.487549146040619e-88
